url,title,status,finger
http://jygl.gdwyj.cn:8002,404 Not Found,404,{'Nginx'}
http://img.traffic.dg11185.com,403 Forbidden,403,{'Nginx'}
http://baoxian.dg11185.com,全国邮政电子商务运营中心,200,{'Tengine'}
http://gd.postoa.com.cn,中国邮政电子邮件系统,200,{'Nginx'}
https://202.105.44.116,,503,set()
http://202.105.44.100,,503,set()
http://www.gdwyj.cn:8010,404 Not Found,404,{'Nginx'}
http://11185.gdpost.com.cn:8001,,200,{'Nginx'}
https://www.ichsh.com.cn,403 Forbidden,403,{'Nginx'}
https://202.105.44.80,403 Forbidden,403,{'Nginx'}
https://www.dgpostwx.com,,200,{'Nginx'}
https://ichsh.cn,403 Forbidden,403,{'Nginx'}
https://202.105.44.118,,200,set()
http://dgpostwx.com,,200,{'Nginx'}
http://202.105.44.20:8002,404 Not Found,404,{'Nginx'}
https://rural.gdwyj.cn,,404,{'Nginx'}
https://www-post.183gz.com.cn,,200,{'Nginx'}
https://www.szhkhui.com,,400,{'Nginx'}
http://wx.gdwyj.cn:8010,404 Not Found,404,{'Nginx'}
http://11185.gdwyj.cn:8002,404 Not Found,404,{'Nginx'}
http://mail.gdems.com:8081,,404,set()
http://dg11185.dywservices.ichsh.com.cn,403 Forbidden,403,{'Nginx'}
http://202.105.44.95,,404,{'Nginx'}
http://www.kjy.cn,跨境易电子商务服务平台,200,"{'Microsoft ASP.NET', 'IIS', 'Windows Server'}"
http://11185.gdpost.com.cn:8010,404 Not Found,404,{'Nginx'}
http://zhh.gdpost.com.cn:8010,404 Not Found,404,{'Nginx'}
http://202.105.44.20:8110,系统升级中,502,{'Nginx'}
http://202.105.44.34:443,400 The plain HTTP request was sent to HTTPS port,400,set()
http://202.105.44.20:9004,404 Not Found,404,{'Nginx'}
http://202.105.44.4:9004,404 Not Found,404,{'Nginx'}
http://stampwikistatic.dg11185.com,403 Forbidden,403,{'Tengine'}
https://202.105.44.112,,503,set()
https://202.105.44.103,,503,set()
https://img.dgpostwx.com,,200,{'Tengine'}
https://jyx.dg11185.com,403 Forbidden,403,{'Nginx'}
https://gzxsjdy.183gz.com.cn,404 Not Found,404,{'Nginx'}
https://bee.183gz.com.cn,,200,{'Nginx'}
http://yz.gdems.com,邮证APP下载,200,{'Nginx'}
https://hdpt.shenzhenpost.com.cn,403 Forbidden,403,{'Nginx'}
https://www.shenzhenpost.com.cn,403 Forbidden,403,{'Nginx'}
https://stampwikistatic.dg11185.com,403 Forbidden,403,{'Tengine'}
https://dwx.dg11185.com,中国邮政新媒体矩阵管理系统,200,"{'Tengine', 'jQuery'}"
http://openapi.kjy.cn,开放平台 - 文档中心,200,"{'IIS', 'Windows Server'}"
http://121.33.215.90:81,,200,{'Nginx'}
http://121.33.215.90,,404,set()
http://admin.zhyj.dgzyyz.com:8080,,404,set()
http://202.105.44.70:8100,读取系统名,200,"{'Font Awesome', 'Polyfill', 'Bootstrap', 'Nginx', 'jQuery'}"
http://oss.yyx.dg11185.com,,403,{'Tengine'}
https://jygl.gdpost.com.cn,404 Not Found,404,{'Nginx'}
https://image.ichsh.com.cn,403 Forbidden,403,{'Nginx'}
http://express.kjy.cn,登陆,200,"{'Google Font API', 'jQuery'}"
https://ems.emspost.com.cn,,200,{'Nginx'}
https://rdwpl.routdata.com,,404,{'Nginx'}
http://wxpay.gdwyj.cn:8010,404 Not Found,404,{'Nginx'}
http://wx.gdwyj.cn:8001,,200,{'Nginx'}
http://202.105.44.50:8110,系统升级中,502,{'Nginx'}
http://gzpost-pay.183gz.com.cn,404 Not Found,404,{'Nginx'}
https://202.105.44.120,,200,set()
https://oss.yyx.dg11185.com,,403,{'Tengine'}
https://dgemswx.com.cn,,200,{'Apache'}
https://dwxres.dg11185.com,403 Forbidden,403,{'Nginx'}
https://yz.gdems.com:8443,403 Forbidden,403,{'Nginx'}
https://202.105.44.4,404 Not Found,404,{'Nginx'}
https://11185.gdpost.com.cn,404 Not Found,404,{'Nginx'}
https://mail.emspost.com.cn,404 Not Found,404,{'Nginx'}
http://file1.weiyoutong.cn,403 Forbidden,403,{'Nginx'}
http://kuajingyi.gdems.com:81,,200,{'Nginx'}
http://wxcp.dgzyyz.com:8080,,200,"{'Apache Tomcat', 'Java'}"
http://202.105.44.20:8001,,200,{'Nginx'}
http://xinyi.gdpost.com.cn,广东邮政欢迎你,200,{'Nginx'}
http://image.ichsh.com.cn,403 Forbidden,403,{'Nginx'}
http://www.ichsh.com.cn,全国邮政电子商务运营中心,200,{'Nginx'}
http://202.105.44.80,403 Forbidden,403,{'Nginx'}
https://post.dgpostwx.com,,404,{'Nginx'}
https://wl.dgemswx.com.cn,跳转提示,200,"{'Nginx', 'PHP'}"
http://cpresource.dg11185.com,403 Forbidden,403,{'Tengine'}
https://61.144.23.93,404 Not Found,404,{'Nginx'}
http://post.dgpostwx.com,,200,{'Nginx'}
http://202.105.44.43:8080,400 The plain HTTP request was sent to HTTPS port,400,{'Nginx'}
https://cpweixin.dg11185.com,,404,"{'Tengine', 'PHP'}"
http://wxpay.gdpost.com.cn,广东邮政欢迎你,200,{'Nginx'}
http://202.105.44.4:8001/services,CXF - Service list,200,{'Nginx'}
http://www-gzpost.183gz.com.cn,404 Not Found,404,{'Nginx'}
http://unpda.183gz.com.cn,,404,{'Nginx'}
http://api.wjd.weiyoutong.cn,,200,"{'PHP', 'Nginx'}"
http://wx.gdwyj.cn:8002,404 Not Found,404,{'Nginx'}
http://res.zhyj.dgzyyz.com:8080,,404,set()
http://202.105.44.20:8010,404 Not Found,404,{'Nginx'}
http://youzheng.gdems.com,,200,{'Nginx'}
http://ins.dgzyyz.com,,404,{'Nginx'}
http://stampwikilt.dg11185.com,403 Forbidden,403,{'Nginx'}
http://mail.emspost.com.cn,404 Not Found,404,{'Nginx'}
http://cdn.yun.dg11185.com,403 Forbidden,403,{'Tengine'}
https://admin.zhyj.dgzyyz.com,,404,{'Nginx'}
https://img.traffic.dg11185.com,403 Forbidden,403,{'Nginx'}
https://121.33.215.90:8443,403 Forbidden,403,{'Nginx'}
https://dlapp.szhkhui.com,403 Forbidden,403,{'Nginx'}
https://lc.ichsh.cn,403 Forbidden,403,{'Nginx'}
http://202.105.44.39,,200,{'Nginx'}
http://kahan.gdwyj.cn,中国邮政,200,{'Nginx'}
http://11185.gdwyj.cn:8001,,200,{'Nginx'}
http://www-post.183gz.com.cn,403 Forbidden,403,{'Nginx'}
https://bjyg.szhkhui.com,404 Not Found,404,{'Nginx'}
https://qyweixin.gdwyj.cn,404 Not Found,404,{'Nginx'}
